number,x,y,theta,cmd_value 
0,4.1853890419,1.87459559237,-1.33695659579,1.42596692568,1.85997968273,-1.40651337652,1.45450787795,1.30520951793,-2.65556939876,-2.27393692739,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.34544014931,1.87459559237,-1.33695659579,1.42596692568,1.85997968273,-1.40651337652,1.45450787795,1.30520951793,-2.65556939876,-2.27393692739,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.74366021156,1.90387323523,-1.30693997549,1.54035447892,1.88215906819,-1.40284074374,1.57937348351,1.22229689606,-2.68841353335,-2.03895475637,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.07662415504,1.90565208919,-1.30655531735,1.55333789632,1.88206049846,-1.40670498197,1.57727942248,1.22229689606,-2.68841353335,-2.03895475637,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.15235710144,1.9021416666,-1.31394746041,1.55878301053,1.88062437846,-1.413454145,1.5814829857,1.22135473067,-2.68149556026,-2.02814512503,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.4019100666,1.90531035256,-1.30489205032,1.55452751028,1.88259361681,-1.40576332483,1.57624522346,1.22135473067,-2.68149556026,-2.02814512503,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.82572412491,1.91694630433,-1.31678466834,1.57825176129,1.9333821168,-1.42577852308,1.57198182534,1.22393145194,-2.67798783744,-2.02665807512,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.97999310493,1.93087122035,-1.29984715211,1.5786749023,1.95118693038,-1.42084060382,1.56931877574,1.22160195904,-2.67159392492,-2.02649537993,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.23776507378,1.89326334776,-1.32470656507,1.59908717736,1.88482431766,-1.45306020129,1.63513656814,1.22160195904,-2.67159392492,-2.02649537993,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.30581116676,1.89326334776,-1.32470656507,1.59908717736,1.88482431766,-1.45306020129,1.63513656814,1.22021712365,-2.66228857115,-2.02519690459,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.47271704674,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.24659294675,-2.71557407536,-1.90906026859,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
