number,x,y,theta,cmd_value 
0,2.38322997093,1.79085883072,-1.85064817726,1.05685391624,1.77817130921,-1.82400957533,1.03820116181,0.857896267426,-2.69625870822,-1.78095946071,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.46195912361,1.79085883072,-1.85064817726,1.05685391624,1.77817130921,-1.82400957533,1.03820116181,0.83046102138,-2.83528148651,-1.47364409458,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.53838300705,1.80945576194,-1.8287225909,1.12026080323,1.80051904774,-1.80151010725,1.10404967935,0.827198197118,-2.84674725075,-1.44563846354,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.6474480629,1.84980041824,-1.77643369112,1.20358529273,1.84299776801,-1.75775345931,1.19167523998,0.819523399307,-2.87571538254,-1.36464485868,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.7537381649,1.865087156,-1.74926557724,1.26743521993,1.86929300568,-1.73588112322,1.2600035002,0.819506059075,-2.87578083817,-1.36446198759,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.82794809341,1.87694489788,-1.72012323877,1.29957915628,1.88140075295,-1.70568673215,1.29358766068,0.814641059061,-2.90405685365,-1.29318959599,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.99503016472,1.90026040316,-1.66992381541,1.40701992822,1.86772888807,-1.65604562878,1.39071644183,0.814406386534,-2.91663713504,-1.25717821483,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.09035301208,1.89819829567,-1.66050782619,1.4641566253,1.88207421471,-1.64744356986,1.44780046077,0.814406386534,-2.91663713504,-1.25717821483,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.30870509148,1.93292485036,-1.62384815139,1.49792275035,1.9135154326,-1.61273407275,1.48625999291,0.80490091641,-2.96798505405,-1.12926827681,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.37681317329,1.91957583841,-1.64127179372,1.50912588691,1.90801980655,-1.63260537,1.499092339,0.799750737874,-2.97771675172,-1.10603476576,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
