number,x,y,theta,cmd_value 
0,0.1521089077,-0.449407743272,-0.522543303194,-3.13383169677,-0.530450926998,-0.511396739589,3.1357071626,-0.449774316497,-0.523945201691,-3.13524729926,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.318004846573,-0.450167601732,-0.524088790002,-3.13680968941,-0.531381097325,-0.512235058367,3.13270422733,-0.449774296138,-0.523947108329,-3.13524729926,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.418206930161,-0.448902025402,-0.52446113744,-3.13637136463,-0.530403757741,-0.511950638373,3.13310563562,-0.452151923941,-0.52509712208,-3.12953089061,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.545485973358,-0.451368224152,-0.522642505209,-3.13012273596,-0.532340335738,-0.511975712427,3.13942597586,-0.452151923941,-0.52509712208,-3.12953089061,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.626742839813,-0.45036264364,-0.52320702517,-3.11627774993,-0.53095388295,-0.512254347675,-3.12998105316,-0.456944629451,-0.531519599821,-3.10561330454,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.751354932785,-0.451599545168,-0.526895028515,-3.08899499795,-0.531745718003,-0.517070201122,-3.10211160412,-0.460948499398,-0.537546218234,-3.08702640599,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.812814950943,-0.45844777847,-0.533999365833,-3.06454636748,-0.537873815386,-0.527621982485,-3.07666006562,-0.474389813007,-0.551744784804,-3.04315286191,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.975204944611,-0.480252107352,-0.559824554658,-2.99030481471,-0.558226996609,-0.563171776996,-3.00536395338,-0.480891617035,-0.559915864197,-3.01942769707,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.03370499611,-0.480252107352,-0.559824554658,-2.99030481471,-0.558226996609,-0.563171776996,-3.00536395338,-0.513606866237,-0.593472019905,-2.91723032743,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.09154582024,-0.489475204549,-0.576586690537,-2.94359271772,-0.56687623351,-0.58355607749,-2.95930416267,-0.523866329122,-0.606389322171,-2.87914964758,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.15224790573,-0.489475204549,-0.576586690537,-2.94359271772,-0.56687623351,-0.58355607749,-2.95930416267,-0.531309692409,-0.615536040816,-2.85327549569,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.21027803421,-0.499281640897,-0.586379512534,-2.90614972862,-0.582831678103,-0.607334562994,-2.89575229708,-0.550727462662,-0.638534426024,-2.78450405335,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.27055501938,-0.523402069605,-0.615785083792,-2.81815059929,-0.599474997414,-0.634532871337,-2.83715314093,-0.554978284801,-0.643839165203,-2.76996524345,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.35253596306,-0.523402069605,-0.615785083792,-2.81815059929,-0.599474997414,-0.634532871337,-2.83715314093,-0.567791262415,-0.659001815637,-2.72647604089,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.41513395309,-0.544931571354,-0.635782354786,-2.74566294365,-0.619318859489,-0.665316127405,-2.76294412888,-0.593234625032,-0.693209766649,-2.63596170002,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.52017903328,-0.563322846952,-0.661548919018,-2.67009523464,-0.632821919671,-0.700653559412,-2.68801797707,-0.593234625032,-0.693209766649,-2.63596170002,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.59130382538,-0.575796873069,-0.67683247655,-2.63221553205,-0.657047386297,-0.733724689571,-2.61649570864,-0.630161721942,-0.735176057252,-2.53496930946,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.65397000313,-0.575796873069,-0.67683247655,-2.63221553205,-0.657047386297,-0.733724689571,-2.61649570864,-0.648216340333,-0.759466504408,-2.47119869065,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.71132493019,-0.61152181224,-0.7219857101,-2.52698420438,-0.68383843813,-0.770323671463,-2.54517205888,-0.660133632388,-0.773489982105,-2.44084661445,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
