TestNumber,X_average,Y_average,THETA_average,X_variance,Y_variance,THETA_variance
1,-0.016931346315,0.0203513795607,-0.0451664878288,0.0273912665212,0.0294684521039,0.043150935535
2,-0.00924866022929,0.00963902711941,-0.0085355869312,0.0119190427652,0.0158887860433,0.0315165060565
3,-0.00905513721092,0.000678764439167,-0.0123278226619,0.0079683366232,0.00738742508233,0.00885929689917
4,-0.00805122996811,0.0175846568637,-0.00455341762264,0.019084838834,0.0145971372427,0.00735955454303
5,-0.00668934827655,0.00448718742455,-0.0028631392771,0.0135308553351,0.00802574078841,0.0126980644711
