TestNumber,X_average,Y_average,THETA_average,X_variance,Y_variance,THETA_variance
1,-0.0100017695011,0.0204743615629,0.00213212426617,0.0137835958573,0.0218323389218,0.0255798409484
2,-0.0617916400941,0.0558446049954,0.886649141087,0.0435027235849,0.0488233617738,2.35036448031
3,-0.0684282359465,0.0638712991769,1.1458601078,0.0359991582723,0.0427593276145,2.510024942
4,-0.0660462007165,0.0670723843021,-0.0629944983108,0.0591237470717,0.0482631857513,0.838112061202
5,-0.0853386177998,0.0780708111035,1.04550183664,0.04859228382,0.047257309984,2.4548669981
