number,x,y,theta,cmd_value 
0,0.0228660106659,-0.449504010954,-0.524907352455,3.1396832259,-0.533922557652,-0.506854150221,3.12726257263,-0.448969270881,-0.525386094885,3.13909588112,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.134119987488,-0.446315356989,-0.524909218812,3.13874926264,-0.531418807587,-0.506909861302,3.12633081225,-0.448969270881,-0.525386094885,3.13909588112,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.251931190491,-0.449099825386,-0.523581602101,3.14041201834,-0.533681787633,-0.505673013509,3.12799456543,-0.448967293714,-0.525567467762,3.1385624728,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.374019145966,-0.450522045494,-0.523831869791,3.13912975125,-0.534895529513,-0.505708729883,3.12670815683,-0.450282465946,-0.526461165951,-3.14007618065,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.483142137527,-0.447349806708,-0.524809913476,3.14040244201,-0.532341371995,-0.506878972021,3.12798128167,-0.452538434014,-0.528442454075,-3.13222558344,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.624197006226,-0.450865438948,-0.525768261257,-3.09464336615,-0.531488702392,-0.513799654378,-3.10694352302,-0.455057422638,-0.532481993908,-3.11181650908,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.736492156982,-0.453645574357,-0.533098020334,-3.06760325745,-0.530827838846,-0.525395209994,-3.07978016128,-0.465374164691,-0.543505739673,-3.06308546083,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.882350206375,-0.461031431547,-0.544878055353,-3.03252992627,-0.534300565498,-0.54347834728,-3.0444671074,-0.465374164691,-0.543505739673,-3.06308546083,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,0.991000175476,-0.474016424347,-0.555228540267,-2.99691979986,-0.547486883433,-0.560867479752,-3.00862864899,-0.473913336307,-0.552581031915,-3.02823382706,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.10623812675,-0.48663587717,-0.569196873163,-2.94307993,-0.559446695263,-0.576237082043,-2.95712832261,-0.525164497,-0.601237084033,-2.84341105158,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,1.23538804054,-0.506432135581,-0.591027282375,-2.86367410431,-0.583539810091,-0.626643725504,-2.83862583089,-0.540809449323,-0.619517336272,-2.78887230375,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
