number,x,y,theta,cmd_value 
0,2.52048110962,1.74652243532,-1.90494964946,0.934400025547,1.74201514237,-1.88392281133,0.918482758484,0.929400217494,-3.35231694547,0.912102502795,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.87930107117,1.74652243532,-1.90494964946,0.934400025547,1.74201514237,-1.88392281133,0.918482758484,0.929308636972,-3.35242062523,0.911782974285,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.94078922272,1.74652243532,-1.90494964946,0.934400025547,1.74201514237,-1.88392281133,0.918482758484,0.873774475777,-3.42630220086,0.668283199964,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.01902318001,1.88610858662,-1.65745987189,1.40255738456,1.87269331351,-1.63922505069,1.38946876784,0.873774475777,-3.42630220086,0.668283199964,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.13989019394,1.88610858662,-1.65745987189,1.40255738456,1.87269331351,-1.63922505069,1.38946876784,0.867024238949,-3.43612350804,0.627880755889,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.21807122231,1.88610858662,-1.65745987189,1.40255738456,1.87269331351,-1.63922505069,1.38946876784,0.867024238949,-3.43612350804,0.627880755889,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.45220899582,1.91059105305,-1.61570902308,1.52338412231,1.88581551685,-1.60910676759,1.50912030231,0.867019619749,-3.43613023142,0.627853102962,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.52859210968,1.91059105305,-1.61570902308,1.52338412231,1.88581551685,-1.60910676759,1.50912030231,0.848382616448,-3.44912254715,0.565362486506,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.60679507256,1.91957682564,-1.6241088814,1.57174639439,1.89330981574,-1.6369672338,1.55457565132,0.848382616448,-3.44912254715,0.565362486506,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.67314910889,1.91759244002,-1.63042995136,1.57048593032,1.8902099551,-1.64484674566,1.55320448613,0.83678604467,-3.44797611372,0.532626572607,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.75907707214,1.91759244002,-1.63042995136,1.57048593032,1.8902099551,-1.64484674566,1.55320448613,0.836680137823,-3.44746186389,0.531585036946,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.86185908318,1.9203244738,-1.62243927126,1.57569816078,1.89408304618,-1.63774279638,1.55810512776,0.836898747796,-3.447165624,0.530684545175,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.96829509735,1.91839632405,-1.62776741272,1.57476790971,1.89033889634,-1.64784544181,1.55720610229,0.836898747796,-3.447165624,0.530684545175,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.03904604912,1.91639129218,-1.63188075936,1.57385937978,1.89033889634,-1.64784544181,1.55720610229,0.836998626363,-3.44668197899,0.530032139739,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.10014915466,1.91324110178,-1.64078036282,1.5762549525,1.88737947847,-1.65852849452,1.56079281492,0.836987440053,-3.44538147735,0.5303454488,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.17808008194,1.91739567298,-1.63476307038,1.57572880803,1.88958522957,-1.65407185781,1.55834538192,0.83719194884,-3.4450416393,0.530378738626,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.27003002167,1.92019393386,-1.6248216906,1.57068998006,1.89280466449,-1.64434684552,1.55333142093,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.33465003967,1.92019393386,-1.6248216906,1.57068998006,1.89280466449,-1.64434684552,1.55333142093,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.41220808029,1.92056163629,-1.62500338355,1.57166124148,1.89208655177,-1.64525671862,1.55409775387,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.48384809494,1.92094538721,-1.62266522339,1.57720528574,1.89362269908,-1.64286251738,1.55990034997,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.55655908585,1.92094538721,-1.62266522339,1.57720528574,1.89362269908,-1.64286251738,1.55990034997,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.64635801315,1.92167321782,-1.62674238922,1.56917357166,1.89233663952,-1.64631182753,1.55265164228,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.73045802116,1.92074363439,-1.62392236858,1.57460986225,1.89303269384,-1.64369967445,1.5577885621,0.83719321221,-3.44503956821,0.53037894115,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
