number,x,y,theta,cmd_value 
0,4.68961286545,-0.879207367518,-1.03940041224,-1.56852332491,-0.89670634486,-1.07681297973,-1.57897668928,-0.89324831338,-1.07402065803,-1.48953090922,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.7105588913,-0.879207367518,-1.03940041224,-1.56852332491,-0.89670634486,-1.07681297973,-1.57897668928,-0.89324831338,-1.07402065803,-1.48953090922,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.72824883461,-0.879207367518,-1.03940041224,-1.56852332491,-0.89670634486,-1.07681297973,-1.57897668928,-0.895232703072,-1.07063794536,-1.48924201363,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.74602794647,-0.879207367518,-1.03940041224,-1.56852332491,-0.89670634486,-1.07681297973,-1.57897668928,-0.895232703072,-1.07063794536,-1.48924201363,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.76848697662,-0.877873984003,-1.0400192169,-1.56782575457,-0.895226790069,-1.07697046149,-1.57840951118,-0.897572639483,-1.06817484036,-1.4888081336,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.79106783867,-0.877873984003,-1.0400192169,-1.56782575457,-0.895226790069,-1.07697046149,-1.57840951118,-0.897572639483,-1.06817484036,-1.4888081336,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.81100988388,-0.877873984003,-1.0400192169,-1.56782575457,-0.895226790069,-1.07697046149,-1.57840951118,-0.897579631769,-1.06816749175,-1.48880694133,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.82427096367,-0.877873984003,-1.0400192169,-1.56782575457,-0.895226790069,-1.07697046149,-1.57840951118,-0.897579631769,-1.06816749175,-1.48880694133,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.84854078293,-0.877873984003,-1.0400192169,-1.56782575457,-0.895226790069,-1.07697046149,-1.57840951118,-0.897579631769,-1.06816749175,-1.48880694133,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.86858797073,-0.877873984003,-1.0400192169,-1.56782575457,-0.904794274676,-1.07037870888,-1.58558195549,-0.898064946326,-1.06746231562,-1.48866262128,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.88975977898,-0.876827863904,-1.03465754535,-1.56865967298,-0.904794274676,-1.07037870888,-1.58558195549,-0.9004319152,-1.06208474079,-1.4867887469,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
