TestNumber,X_average,Y_average,THETA_average,X_variance,Y_variance,THETA_variance
1,-0.000441589573556,-0.00343431635944,0.000894678852765,0.0189070026122,0.00670422598439,0.007330576191
2,nan,nan,nan,nan,nan,nan
3,0.000517673365091,-0.00990653430924,2.7906747357,0.0318044646776,0.017506117962,3.09569687211
4,0.0142045404849,-0.0120858943532,0.0186361470406,0.0294023029797,0.028258345622,0.799386045019
5,0.0168215076474,-0.000654059034394,-0.0660157847461,0.0324295016636,0.0205095908499,1.08265843348
