number,x,y,theta,cmd_value 
0,2.11361718178,1.74900384142,-1.90473193572,0.8754501222,1.69263061862,-1.95795294927,0.883842517581,1.27772030894,-2.6729110413,-2.55512861314,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.29337716103,1.7691159577,-1.87412392019,0.962439974351,1.71510751194,-1.9250176893,0.975530095903,1.25137908363,-2.70059919411,-2.46366083227,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.43369221687,1.81441375038,-1.81853411829,1.1016833411,1.78469049229,-1.87084220644,1.10247927631,1.1993128751,-2.74902257097,-2.31534280327,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.5186650753,1.83653269137,-1.77477265444,1.20635301943,1.81851776398,-1.83803992979,1.19882007095,1.1567454171,-2.78701555188,-2.19983494254,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.66054916382,1.85676535783,-1.74022305525,1.25831700394,1.83448975545,-1.8010596429,1.26926020939,1.1567454171,-2.78701555188,-2.19983494254,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.76808619499,1.86431266627,-1.70973026035,1.31925842725,1.84808388662,-1.7639593309,1.33889867423,1.11320909894,-2.83003030128,-2.04916337019,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,2.89323210716,1.87446403775,-1.69870058065,1.35083173149,1.84437876623,-1.74867374698,1.3809875683,1.08502023256,-2.86124110556,-1.9443429895,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.08650517464,1.88682432752,-1.65820636824,1.45023036854,1.8628909963,-1.72554764035,1.46055547681,1.06318625902,-2.88220024964,-1.86098075138,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.17759013176,1.90574109182,-1.63538211171,1.4776325554,1.87658104826,-1.71176763792,1.49253588032,1.06309069497,-2.88229198469,-1.8606159315,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.72129917145,1.91687279611,-1.6389322296,1.53847132318,1.8967493162,-1.72981732318,1.56043079492,1.06309069497,-2.88229198469,-1.8606159315,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.41263508797,1.91922051692,-1.64382007575,1.53648682444,1.89861365977,-1.74063566408,1.56248455272,1.03284794006,-2.9058705819,-1.75787787917,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.11915016174,1.93566016368,-1.65448727203,1.55683731484,1.95358081085,-1.77297627908,1.55458481685,1.03284794006,-2.9058705819,-1.75787787917,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.41440701485,1.94356687744,-1.65111494872,1.51584076877,1.92121854567,-1.77898743522,1.5514190334,1.01381451141,-2.88039915449,-1.70957401144,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.50849413872,1.93733221201,-1.65701403977,1.52014018747,1.92106450734,-1.77472646068,1.53466996584,1.01381451141,-2.88039915449,-1.70957401144,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.59404611588,1.93733221201,-1.65701403977,1.52014018747,1.92106450734,-1.77472646068,1.53466996584,1.01548776754,-2.88060715953,-1.70954705409,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.7121732235,1.92852109261,-1.64164139122,1.58398353063,1.93638931416,-1.76164594977,1.57633008856,1.01548776754,-2.88060715953,-1.70954705409,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.93917012215,1.90547982556,-1.62739933932,1.63129387418,1.90457038499,-1.74653262745,1.6359973515,1.01542372,-2.88836208686,-1.70826791541,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.09949707985,1.88714251355,-1.61820614735,1.64457429306,1.8699598262,-1.74222794752,1.67381343841,1.01542372,-2.88836208686,-1.70826791541,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.24028420448,1.8427202283,-1.59935307411,1.7394960655,1.82422811039,-1.72795315459,1.77131432979,1.02483474992,-2.90342023107,-1.67454655434,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.33767700195,1.82344724546,-1.58759864231,1.80629627231,1.81826498825,-1.70948084188,1.82023708392,1.02483474992,-2.90342023107,-1.67454655434,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.40481209755,1.81573285415,-1.5714583803,1.83574783927,1.8172020964,-1.67013953064,1.87624813023,1.07892000241,-2.95691390902,-1.51697811841,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.65697312355,1.73438497776,-1.5137434649,2.0303921794,1.75442289031,-1.62258777947,2.04762486829,1.07892000241,-2.95691390902,-1.51697811841,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.77979421616,1.69602387096,-1.49346847806,2.07943566485,1.70955373542,-1.60671582033,2.10692200362,1.07892000241,-2.95691390902,-1.51697811841,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.92257905006,1.6211468521,-1.44357345303,2.22166978351,1.64370032749,-1.53921971603,2.24629863969,1.23044088597,-3.12528339752,-1.05579912309,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.14402914047,1.55319388521,-1.39603672237,2.41280011205,1.58568093403,-1.44875880868,2.41049042662,1.23044088597,-3.12528339752,-1.05579912309,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.21396112442,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.23047725673,-3.12532381542,-1.05568754208,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.43087410927,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.23047725673,-3.12532381542,-1.05568754208,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.62507009506,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.33763036346,-3.24143851058,-0.724348700434,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.71359610558,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.33763036346,-3.24143851058,-0.724348700434,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.91204309464,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.33767157692,-3.24148317086,-0.724220901001,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.98076510429,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.43499913718,-3.34113233087,-0.400295311373,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.07711315155,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.45063768783,-3.35819346592,-0.341203589289,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.16121411324,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.4789740815,-3.38239866389,-0.233943179652,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.3241071701,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.49028561379,-3.39475151806,-0.196409524003,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.44115400314,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.49832794083,-3.40325503282,-0.16710215837,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.5227200985,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.50644633366,-3.41941286833,-0.122844623943,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.64335417747,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.50644633366,-3.41941286833,-0.122844623943,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.71085810661,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.50816461321,-3.42053137725,-0.116381043149,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.87307620049,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.50864523835,-3.42128100264,-0.111973706329,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.94469618797,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.50787431338,-3.42240179763,-0.108684131708,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,9.03736019135,1.52141627019,-1.3876023226,2.49359710535,1.55569225022,-1.43929551809,2.50632084168,1.50787431338,-3.42240179763,-0.108684131708,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
